Epoch,TrainError,ValidError,TestError
1,74.93771,57.13701,
2,51.14672,36.56852,
3,28.68223,18.89413,
4,16.07584,10.10854,
5,10.13035,6.52205,
6,7.26166,4.74426,
7,5.51367,3.72097,
8,4.55128,3.01818,
9,3.81059,2.64609,
10,3.352310,2.242910,
11,2.994011,1.891511,
12,2.702312,1.757112,
13,2.443913,1.602113,
14,2.259014,1.509014,
15,2.083315,1.374715,
16,1.906416,1.188616,
17,1.745617,1.085317,
18,1.735318,1.064618,
19,1.560719,1.002619,
20,1.443620,0.919920,
21,1.448221,0.857921,
22,1.352922,0.837222,
23,1.267923,0.785523,
24,1.246124,0.754524,
